Person,Year
Abdullah bin Abdul Aziz Al Saud,1924
Al Gore,1948
Alber Elbaz,1961
America Ferrera,1984
Amr Khaled,1967
Angela Merkel,1954
Anna Netrebko,1971
Arnold Schwarzenegger,1947
Ayatullah Ali Khamenei,1939
Barack Obama,1961
Bernard Arnault,1949
Bill Gates,1955
Brad Pitt,1963
Brian Grazer,1951
Brian Williams,1959
Carlos Slim Helu,1940
Cate Blanchett,1969
Chad Hurley,1977
Chien-Ming Wang,1980
Chris Anderson,1961
Clara Furse,1957
Condoleezza Rice,1954
Cyril Ramaphosa,1952
David Mitchell,1969
Drew Gilpin Faust,1947
Elizabeth Blackburn,1948
Elizabeth Edwards,1949
Frans de Waal,1948
Garry Kasparov,1963
General David Petraeus,1952
George Clooney,1961
Hillary Clinton,1947
Hu Jintao,1942
Indra Nooyi,1955
J. Craig Venter,1946
Joanne Rowling,1965
John Mather,1946
John Mayer,1977
John McCain,1936
John Roberts,1955
Justin Timberlake,1981
Kara Walker,1969
Kate Moss,1974
Katsuaki Watanabe,1942
Ken Lewis,1947
Klaus Schwab,1938
Lakshmi Mittal,1950
Larry Page,1973
Leonardo DiCaprio,1974
Lisa Randall,1962
Liu Qi,1942
Maher Arar,1970
Martin Scorsese,1942
Mel Gibson,1956
Michael Bloomberg,1942
Michael J. Fox,1961
Michael Moritz,1954
Monty Jones,1951
Nancy Pelosi,1940
Neil deGrasse Tyson,1958
Nora Roberts,1950
Omar Hassan al-Bashir,1944
Oprah Winfrey,1954
Osama bin Laden,1957
Paul Allen,1953
Paula Abdul,1962
Peter Akinola,1944
Philip Rosedale,1969
Pope Benedict XVI,1927
Queen Elizabeth II,1926
Raul Castro,1931
Rhonda Byrne,1955
Richard Branson,1950
Richard Dawkins,1941
Rick Rubin,1963
Roger Federer,1981
Rosie O'Donnell,1962
Rudi Giuliani,1944
Sacha Baron Cohen,1971
Sergey Brin,1973
Shigeru Miyamoto,1952
Shonda Rhimes,1970
Simon Fuller,1960
Sonia Gandhi,1946
Stephen Schwarzman,1947
Steve Chen,1978
Steve Jobs,1955
Steven Cohen,1956
Steven Hawking,1942
Steven Nissen,1949
Thierry Henry,1977
Tina Fey,1970
Tony Dungy,1955
Tyra Banks,1973
Tzipi Livni,1958
Warren Buffett,1930
Wesley Autrey,1956
William Jefferson Clinton,1946
Youssou N'Dour,1959
Zeng Jinyan,1983
